Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
2026-05-29,23547.75,24002.80078125,23484.75,23902.150390625,1198000
2026-06-01,23382.599609375,23733.69921875,23357.94921875,23654.5,421700
2026-06-02,23483.55078125,23556.94921875,23229.150390625,23229.150390625,511900
2026-06-03,23405.599609375,23459.650390625,23151.5,23415.94921875,450100
2026-06-04,23416.55078125,23465.30078125,23247.30078125,23282.44921875,412500
2026-06-05,23366.69921875,23516.349609375,23282.650390625,23478.94921875,366200
2026-06-08,23123.0,23267.30078125,23070.150390625,23080.69921875,375700
2026-06-09,23242.099609375,23279.400390625,23104.44921875,23259.05078125,402600
2026-06-10,23214.94921875,23425.349609375,23184.599609375,23233.94921875,380000
2026-06-11,23161.599609375,23327.44921875,23072.05078125,23104.400390625,363000
2026-06-12,23622.900390625,23645.349609375,23313.900390625,23412.55078125,351900
2026-06-15,23853.900390625,24011.400390625,23817.80078125,23984.849609375,398900
2026-06-16,23989.150390625,24002.599609375,23888.19921875,23923.900390625,327300
2026-06-17,24085.69921875,24108.19921875,23969.69921875,24044.5,352700
2026-06-18,24168.0,24189.25,24036.94921875,24073.80078125,340000
2026-06-19,24013.099609375,24047.19921875,23901.900390625,23991.19921875,447900
2026-06-22,24102.900390625,24168.05078125,24073.150390625,24106.599609375,252800
2026-06-23,23824.099609375,24135.5,23784.94921875,24071.30078125,340100
2026-06-24,24021.650390625,24090.05078125,23789.25,23795.80078125,395600
2026-06-25,24056.0,24261.599609375,24039.0,24125.849609375,448800
2026-06-29,23946.25,24120.0,23924.55078125,24061.75,588500
2026-06-30,23865.75,24035.55078125,23829.19921875,24032.05078125,449000
2026-07-01,24005.849609375,24049.900390625,23895.099609375,23897.650390625,352100
2026-07-02,24175.69921875,24194.55078125,24058.80078125,24062.19921875,372900
2026-07-03,24270.849609375,24378.150390625,24252.349609375,24375.650390625,326600
2026-07-06,24430.349609375,24458.650390625,24287.099609375,24306.849609375,329400
2026-07-07,24398.69921875,24530.900390625,24348.94921875,24464.44921875,412600
2026-07-08,23882.05078125,24300.0,23805.19921875,24259.55078125,420500
2026-07-09,23962.80078125,24134.69921875,23925.69921875,23928.94921875,384800
2026-07-10,24206.900390625,24228.44921875,24120.349609375,24124.69921875,313100
2026-07-13,24211.0,24259.80078125,24000.19921875,24039.400390625,322700
2026-07-14,24052.05078125,24157.099609375,24023.69921875,24068.0,355800
2026-07-15,24078.5,24220.349609375,24010.55078125,24085.849609375,306900
2026-07-16,24072.75,24186.5,24050.0,24142.099609375,264300
2026-07-17,24334.30078125,24367.30078125,24099.05078125,24127.599609375,387800
2026-07-20,24238.5,24266.099609375,24135.849609375,24190.05078125,353100
2026-07-21,24187.69921875,24262.19921875,24135.650390625,24216.05078125,315600
2026-07-22,23996.25,24166.30078125,23961.400390625,24150.44921875,304700
2026-07-23,23869.599609375,23990.75,23807.19921875,23904.80078125,344000
2026-07-24,23767.44921875,23823.599609375,23606.30078125,23666.349609375,333900
2026-07-27,23995.94921875,24011.599609375,23891.55078125,23928.400390625,319400
2026-07-28,23985.349609375,24041.150390625,23954.599609375,23971.25,437800
2026-07-29,24250.19921875,24283.55078125,24136.75,24176.650390625,424200
2026-07-30,24317.150390625,24342.94921875,24187.099609375,24249.55078125,400600
2026-07-31,24383.599609375,24429.400390625,24299.69921875,24361.44921875,411700
